Modifier,Model,Accuracy,Accuracy (std),Precision,Precision (std),Recall,Recall (std),F1-score,F1-score (std),ROC AUC,ROC AUC (std)
SMOTE,Homogeneous Ensemble,0.999511950376575,6.319906251120279e-05,0.8867566385605554,0.023687432569092313,0.8231807874665018,0.02443809495931769,0.8535127939985487,0.018831101211325377,0.9529091926664665,0.011265967809235089
SMOTE,Heterogeneous Ensemble,0.9977282857534171,0.0002551623681814314,0.4252195588860159,0.027893900496440877,0.8648526077097506,0.022594201342349383,0.5693044439928967,0.02410910267658365,0.9807898348830062,0.004546177169504789
SMOTEN,Homogeneous Ensemble,0.9995417950808461,6.589771562979922e-05,0.9438246708812393,0.025666460206880293,0.7815089672232529,0.019371843994644266,0.8549522833531503,0.020620865725862567,0.9334176391684915,0.015426554949412266
SMOTEN,Heterogeneous Ensemble,0.9995084391406222,6.978206960063745e-05,0.9369535193078683,0.025356569923280926,0.7672954030096888,0.025740700979641033,0.843497573334718,0.022663766132669485,0.9637256109704928,0.010576838174335851
SVMSMOTE,Homogeneous Ensemble,0.9995558397472749,6.891510437167339e-05,0.9376093550795227,0.019488555685470418,0.7957637600494742,0.02442161349502689,0.8608381197123327,0.022063662667688774,0.940286534725173,0.01045456262673363
SVMSMOTE,Heterogeneous Ensemble,0.9992942592643332,6.698459430799142e-05,0.7726329395128431,0.03021523195759892,0.8414656771799629,0.02087545621646361,0.8049397858926314,0.01395145191049518,0.9695500227515772,0.00909620901062951
KMeansSMOTE,Homogeneous Ensemble,0.9995505730166269,9.128881811654814e-05,0.9338867526252492,0.03449948699171185,0.7967429396000825,0.027322550310042538,0.8597011908361365,0.028047295546492323,0.9377849200623111,0.012096586524699053
KMeansSMOTE,Heterogeneous Ensemble,0.9993662376288668,7.08553176774224e-05,0.8128809860279794,0.034046941471410866,0.8251906823335394,0.024022522584138874,0.8183232764918857,0.017752778922878625,0.9702776899468321,0.011550659623309601
BorderlineSMOTE,Homogeneous Ensemble,0.9995593509524074,7.341858345168385e-05,0.9399369972026725,0.021363650794634235,0.7957740672026387,0.027093355437979187,0.8617645372975271,0.023625351932005358,0.9403103035500202,0.012005786927243758
BorderlineSMOTE,Heterogeneous Ensemble,0.9991608359657418,0.0001223318558506613,0.7231075152869992,0.04445572202275745,0.8414656771799629,0.01931041500550813,0.7768426697137003,0.024725859198897852,0.969751974834994,0.009288584042463981
